id,survey_year,lon,lat,capacity_group,denomination,accepted_gender
AG01,1933,8.0457015,47.390434,not specified,not specified,mixed
AG02,1940,8.0457015,47.390434,20 - 49,interdenominational,mixed
AG02,1954,8.0457015,47.390434,20 - 49,interdenominational,mixed
AG02,1965,8.0457015,47.390434,20 - 49,interdenominational,mixed
AG02,1980,8.0457015,47.390434,20 - 49,interdenominational,mixed
AG03,1933,7.9066923,47.3205914,50 - 99,interdenominational,male
AG03,1940,7.9066923,47.3205914,50 - 99,interdenominational,male
AG03,1954,7.9066923,47.3205914,50 - 99,interdenominational,male
AG03,1965,7.9066923,47.3205914,50 - 99,interdenominational,male
AG04,1933,8.3599148,47.2941874,50 - 99,interdenominational,male
AG04,1940,8.3415566,47.2735792,100 - 149,interdenominational,male
AG04,1954,8.3415566,47.2735792,100 - 149,interdenominational,male
AG04,1965,8.3415566,47.2735792,100 - 149,interdenominational,male
AG05,1933,8.1685729,47.4278444,20 - 49,protestant,male
AG05,1940,8.1685729,47.4278444,20 - 49,not specified,male
AG05,1954,8.1685729,47.4278444,20 - 49,interdenominational,male
AG05,1965,8.1685729,47.4278444,20 - 49,interdenominational,male
AG06,1940,8.2109103,47.4867355,0 - 19,interdenominational,mixed
AG06,1954,8.2109103,47.4867355,0 - 19,interdenominational,mixed
AG06,1965,8.2109103,47.4867355,0 - 19,interdenominational,mixed
AG06,1980,8.2109103,47.4867355,0 - 19,interdenominational,mixed
AG07,1933,8.2059141,47.4363544,50 - 99,interdenominational,male
AG07,1940,8.2059141,47.4363544,50 - 99,interdenominational,male
AG07,1954,8.2059141,47.4363544,50 - 99,interdenominational,male
AG07,1965,8.2059141,47.4363544,50 - 99,interdenominational,male
AG08,1940,8.30809,47.47288,0 - 19,interdenominational,mixed
AG08,1954,8.30809,47.47288,0 - 19,interdenominational,mixed
AG08,1965,8.30809,47.47288,0 - 19,interdenominational,mixed
AG08,1980,8.30809,47.47288,0 - 19,interdenominational,mixed
AG09,1940,8.3397905,47.3491774,0 - 19,interdenominational,mixed
AG09,1954,8.3397905,47.3491774,0 - 19,interdenominational,mixed
AG09,1965,8.3397905,47.3491774,0 - 19,interdenominational,mixed
AG09,1980,8.3397905,47.3491774,0 - 19,interdenominational,mixed
AG10,1940,8.0582758,47.5596648,0 - 19,interdenominational,mixed
AG10,1954,8.0582758,47.5596648,0 - 19,interdenominational,mixed
AG10,1965,8.0582758,47.5596648,0 - 19,interdenominational,mixed
AG10,1980,8.0582758,47.5596648,0 - 19,interdenominational,mixed
AG100,1933,8.3599148,47.2941874,not specified,not specified,mixed
AG11,1940,8.1721545,47.3904443,0 - 19,interdenominational,mixed
AG11,1954,8.1721545,47.3904443,0 - 19,interdenominational,mixed
AG11,1965,8.1721545,47.3904443,0 - 19,interdenominational,mixed
AG11,1980,8.1721545,47.3904443,0 - 19,interdenominational,mixed
AG12,1940,8.3415566,47.2735792,0 - 19,interdenominational,mixed
AG12,1954,8.3415566,47.2735792,0 - 19,interdenominational,mixed
AG12,1965,8.3415566,47.2735792,0 - 19,interdenominational,mixed
AG12,1980,8.3415566,47.2735792,0 - 19,interdenominational,mixed
AG13,1940,7.7922914,47.55219,0 - 19,interdenominational,mixed
AG13,1954,7.7922914,47.55219,0 - 19,interdenominational,mixed
AG13,1965,7.7922914,47.55219,0 - 19,interdenominational,mixed
AG13,1980,7.7922914,47.55219,0 - 19,interdenominational,mixed
AG14,1940,8.1137093,47.3131283,0 - 19,interdenominational,mixed
AG14,1954,8.1137093,47.3131283,0 - 19,interdenominational,mixed
AG14,1965,8.1137093,47.3131283,0 - 19,interdenominational,mixed
