ID;Senderkanton;Empfängerkanton;Anstalt;Ort;Arbeitserziehung;Arbeiterkolonien;Zuchthaus, gerichtliche Verwahrung;Verwahrung von Unzurechenfähigen;administrative Versorgungen;Verwahrung von Gewohnheitstrinkern;Erziehung und Nacherziehung Jugendlicher und Minderjähriger (männlich);Erziehung und Nacherziehung Jugendlicher und Minderjähriger (weiblich);Bemerkung
BE02;Aargau;Bern;Arbeitserziehungsanstalt Lindenhof;Witzwil;1;;;;;;1;;
FR01;Aargau;Fribourg;Ets. Pénitentiaires de Bellechasse;Sugiez;1;;;;;;;;
TG01;Aargau;Thurgau;Arbeitserziehungsanstalt Kalchrain;Hüttwilen;1;;;;;;;;
ZH01;Aargau;Zürich;Kantonale Arbeitserziehungsanstalt;Uitikon;1;;;;;;;;
BE01;Aargau;Bern;Arbeits- und Strafanstalt Hindelbank;Hindelbank;1;;;;;;;;
BE04;Aargau;Bern;Kantonale Strafanstalt Thorberg;Krauchthal;;;1;;;;;;
BE45;Aargau;Bern;Heil- und Pflegeanstalt Münsingen;Münsingen;;;;1;;;;;
BE46;Aargau;Bern;Heil- und Pflegeanstalt Waldau;Bern;;;;1;;;;;
LU05;Aargau;Luzern;Heil- und Pflegeanstalt St. Urban;Luzern;;;;1;;;;;
BE47;Aargau;Bern;Mittelländische Verpflegungsanstalt;Riggisberg;;;;;1;;;;
BE05;Aargau;Bern;Anstalt Bärau;Langnau;;;;;1;;;;
ZH03;Aargau;Zürich;Heilstätte Ellikon an der Thur;Ellikon;;;;;;1;;;
ZH07;Aargau;Zürich;Schweizerische Heilstätte für alkoholkranke Männer Götschihof;Äugsterthal;;;;;;1;;;
BS02;Aargau;Basel;Basler Jugendheim;Basel;;;;;;;1;;
FR01;Aargau;Fribourg;Erlenhof;Bellechasse;;;;;;;1;;
ZH45;Aargau;Zürich;Pestalozziheim Burghof;Dielsdorf;;;;;;;1;;
ZH05;Aargau;Zürich;Landheim Brüttisellen;Brütisellen;;;;;;;1;;
ZH23;Aargau;Zürich;Landerziehungsheim Albisbrunn;Hausen am Albis;;;;;;;1;;
FR07;Aargau;Fribourg;Institut St. Nicolas;Drognens;;;;;;;1;;
BE64;Aargau;Bern;Webstübli Iseltwald am Brienzersee;Iseltwald;;;;;;;1;;
LU04;Aargau;Luzern;Erziehungsheim St. Georg;Knutwil;;;;;;;1;;
BL03;Aargau;Baselland;Landheim Erlenhof Reinach;Reinach;;;;;;;1;;
BS05;Aargau;Basel;Anstalt zur Hoffnung;Riehen;;;;;;;1;;
BE09;Aargau;Bern;Erziehungsanstalt Tessenberg;Prêles;;;;;;;1;;
BE44;Aargau;Bern;Schweizerisches Erziehungsheim Bächtelen;Wabern;;;;;;;1;;
ZH11;Aargau;Zürich;Schenkung Dapples;Zürich;;;;;;;1;;
SG03;Aargau;St. Gallen;Vom Guten Hirten;Altstätten;;;;;;;;1;
BS03;Aargau;Basel;St. Katharinenheim;Basel;;;;;;;;1;
BS01;Aargau;Basel;St. Verenahof;Basel;;;;;;;;1;
BE41;Aargau;Bern;Evangelisches Mädchenheim Brunnadern;Bern;;;;;;;;1;
BE53;Aargau;Bern;Mädchenheim Schloss Köniz;Köniz;;;;;;;;1;
BL10;Aargau;Baselland;Frauenheim Wolfbrunnen;Lausen;;;;;;;;1;
FR03;Aargau;Fribourg;Institut Bon Pasteur;Lully;;;;;;;;1;
NE03;Aargau;Neuenburg;Institut Bellevue;Marin;;;;;;;;1;
ZH43;Aargau;Zürich;Haushaltungsschule Lindenbaum;Pfäffikon;;;;;;;;1;
ZH42;Aargau;Zürich;Schweizerisches Katholisches Mädchenheim;Richterswil;;;;;;;;1;
SG10;Aargau;St. Gallen;Erziehungsheim Waldburg;St. Gallen;;;;;;;;1;
SG09;Aargau;St. Gallen;Mädchenheim im Wienerberg;St. Gallen;;;;;;;;1;
FR04;Aargau;Fribourg;Les Joncs Institut pour jeunes filles;Fribourg;;;;;;;;1;
BE52;Aargau;Bern;Loryheim Münsingen;Münsingen;;;;;;;;1;
AR04;Aargau;Appenzell Ausserrhoden;Lärchenheim Lutzenberg;Lutzenberg;;;;;;;;1;
ZH49;Aargau;Zürich;Magdalenenheim Zürich;Zürich;;;;;;;;1;
SG07;Appenzell Ausserrhoden;St. Gallen;Kantonale Strafanstalt St. Gallen;St. Gallen;;;1;;;;;;
ZH04;Appenzell Ausserrhoden;Zürich;Kantonale Strafanstalt Regensdorf;Regensdorf;;;1;;;;;;
TG01;Appenzell Ausserrhoden;Thurgau;Arbeitserziehungsanstalt Kalchrain;Hüttwilen;1;;;;;;;;
ZH03;Appenzell Ausserrhoden;Zürich;Heilstätte Ellikon an der Thur;Ellikon;;;;;;1;;;
SG05;Appenzell Ausserrhoden;St. Gallen;Platanenhof St. Gallisches Erziehungsheim;Oberuzwil;;;;;;;1;;
BE02;Basel Land;Bern;Arbeitserziehungsanstalt Witzwil;Witzwil;1;;;;;;;;
FR01;Basel Land;Fribourg;Les Ets. Pénitentiaires de Bellechasse;Sugiez;1;;;;;;;;
BE03;Basel Land;Bern;Arbeitsanstalt St. Johannsen;Le Landeron (NE);1;;;;;;;;
BE06;Basel Land;Bern;Bernische Heilstätte Nüchtern;Kirchlindach;;;;;;1;;;
AG05;Basel Land;Aargau;Stiftung Effingerhort;Holderbank;;;;;;1;;;
BE02;Basel Land;Bern;Trinkerheilstätte Eschenhof;Witzwil;;;;;;1;;;
ZH03;Basel Land;Zürich;Heilstätte Ellikon an der Thur;Ellikon;;;;;;1;;;
BE10;Basel Land;Bern;Heilstätte für Alkoholkranke Wysshölzli;Herzogenbuchsee;;;;;;1;;;
ZH07;Basel Land;Zürich;Schweizerische Heilstätte Götschihof;Äugsterthal;;;;;;1;;;
BL04;Basel Stadt;Basel Land;Kantonale Strafanstalt Liestal;Liestal;;;1;;;;;;wenn Anstalt Basel überfüllt
SO02;Basel Stadt;Solothurn;Strafanstalt Oberschöngrün;Solothurn;;;1;;;;;;wenn Anstalt Basel überfüllt
ZH04;Basel Stadt;Zürich;Kantonale Straf- und Verwahrungsanstalt;Regensdorf;;;1;;;;;;für Austauschgefangene
AG95;Basel Stadt;Aargau;Kantonale Strafanstalt Lenzburg;Lenzburg;;;1;;;;;;für Austauschgefangene
BE04;Basel Stadt;Bern;Kantonale Strafanstalt Thorberg;Krauchthal;;;1;;;;;;Männer
SO01;Basel Stadt;Solothurn;Zwangsarbeitsanstalt Schachen;Deitingen;;;1;;;;;;Männer
SG07;Basel Stadt;St. Gallen;Kantonale Strafanstalt St. Gallen;St. Gallen;;;1;;;;;;Männer
